id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,GHG_wd,emission_target,emission_target_wd,Lookup,GHG Conversion Factor 2021,valid_from,valid_to,region_wd
1,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,Butane kWh (Gross CV),0.2224,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
2,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,Butane kWh (Gross CV),0.00017,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
3,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,Butane kWh (Gross CV),0.2221,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
4,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,Butane kWh (Gross CV),0.00013,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
5,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,Butane kWh (Net CV),0.24106,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
6,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,Butane kWh (Net CV),0.00018,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
7,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,Butane kWh (Net CV),0.24074,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
8,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,Butane kWh (Net CV),0.00014,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
9,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,Butane litres,1.74529,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
10,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,Butane litres,0.00129,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
11,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,Butane litres,1.74296,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
12,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,Butane litres,0.00104,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
13,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,Butane tonnes,3033.32,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
14,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,Butane tonnes,2.25,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
15,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,Butane tonnes,3029.26,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
16,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,Butane tonnes,1.8,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
17,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,CNG kWh (Gross CV),0.18316,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
18,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,CNG kWh (Gross CV),0.00025,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
19,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,CNG kWh (Gross CV),0.18282,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
20,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,CNG kWh (Gross CV),0.0001,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
