id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,ghg_wd,emission_target,emission_target_formula,emission_target_wd,GHG Conversion Factor 2016,valid_from,valid_to,region,region_wd
1,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.184,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
2,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00025,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
3,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.18365,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
4,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.0001,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
5,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.20444,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
6,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00028,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
7,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.20405,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
8,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00011,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
9,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.47527,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
10,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00066,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
11,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.47436,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
12,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00025,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
13,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,2715.82599,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
14,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,3.76372,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
15,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,2710.63714,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
16,Scope1,Fuels,Gaseous fuels,CNG,,Gaseous_fuels_CNG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,1.42512,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
17,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.184,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
18,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00025,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
