id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM,uom_wd,GHG,GHG_wd,emission_target,emission_target_wd,emission_target_formula,GHG Conversion Factor 2022,valid_from,valid_to,region,region_wd
1,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,3033.32,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
2,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,3029.26,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
3,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,2.25,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
4,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,1.8,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
5,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,1.74529,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
6,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,1.74296,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
7,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,0.00129,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
8,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,0.00104,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
9,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,0.24106,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
10,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,0.24074,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
11,Scope1,Fuels,Gaseous fuels,Butane,,Gaseous_fuels_Butane,Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,0.00018,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
