id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2017,GWP,Value 2017,GWP_id
1,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1841639890773745,,0.1841639890773745,
2,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002593574023387,28.0,9.262764369239285e-06,ch4_co2e_2014
3,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.1838080791752585,1.0,0.1838080791752585,co2_co2e_2014
4,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,9.655249977724892e-05,265.0,3.6434905576320344e-07,n2o_co2e_2014
5,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2046266545304161,,0.2046266545304161,
6,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0002881748914875,28.0,1.0291960410267858e-05,ch4_co2e_2014
7,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2042311990836205,1.0,0.2042311990836205,co2_co2e_2014
8,Scope1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,Gaseous_fuels_CNG,kWh,https://www.wikidata.org/wiki/Q182098,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.000107280555308,265.0,4.0483228418113205e-07,n2o_co2e_2014
9,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,https://www.wikidata.org/wiki/Q11582,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.4924513640126844,,0.4924513640126844,
10,Scope1,Fuels,Gaseous fuels,CNG,,Volume,Gaseous_fuels_CNG,litres,https://www.wikidata.org/wiki/Q11582,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2017-01-01T00:00:00,2017-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0006935172678891,28.0,2.476847385318214e-05,ch4_co2e_2014
