id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2021,GWP,Value 2021,GWP_id
1,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2224,,0.2224,
2,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00017,28.0,6.071428571428572e-06,ch4_co2e_2014
3,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.2221,1.0,0.2221,co2_co2e_2014
4,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00013,265.0,4.90566037735849e-07,n2o_co2e_2014
5,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.24106,,0.24106,
6,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00018,28.0,6.428571428571429e-06,ch4_co2e_2014
7,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.24074,1.0,0.24074,co2_co2e_2014
8,Scope1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,Gaseous_fuels_Butane,kWh,kWh,https://www.wikidata.org/wiki/Q182098,Butane kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00014,265.0,5.283018867924527e-07,n2o_co2e_2014
9,Scope1,Fuels,Gaseous fuels,Butane,,Volume,Gaseous_fuels_Butane,litres,litres,https://www.wikidata.org/wiki/Q11582,Butane litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.74529,,1.74529,
10,Scope1,Fuels,Gaseous fuels,Butane,,Volume,Gaseous_fuels_Butane,litres,litres,https://www.wikidata.org/wiki/Q11582,Butane litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00129,28.0,4.607142857142857e-05,ch4_co2e_2014
