id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG/Unit,emission_target_formula,emission_target,emission_target_wd,GHG,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2022,GWP,Value 2022,GWP_id
1,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3033.32,,3033.32,
2,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3029.26,1.0,3029.26,co2_co2e_2022
3,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.25,27.9,0.08064516129032258,ch4_co2e_2022
4,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.8,273.0,0.006593406593406593,n2o_co2e_2022
5,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.74529,,1.74529,
6,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.74296,1.0,1.74296,co2_co2e_2022
7,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00129,27.9,4.6236559139784944e-05,ch4_co2e_2022
8,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00104,273.0,3.8095238095238094e-06,n2o_co2e_2022
9,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.24106,,0.24106,
10,Scope1,Fuels,Gaseous fuels,Butane,,,Gaseous_fuels_Butane,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.24074,1.0,0.24074,co2_co2e_2022
