provider,providerName,offsetRatio,region,regionName,country_wikidata,country,state,city,impact_modified,impact,valid_from,valid_to,source_curated,source,PUE,PUE source,comment
gcp,Google Cloud Platform,100,asia-east1,,http://www.wikidata.org/entity/Q865,Taiwan,,Changhua County,0.557,557,2019-01-01T00:00:00,2019-12-31T23:59:59,www.electricitymap.org,"measured on  July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org",1.12,https://www.google.com/about/datacenters/efficiency/,Datacenter-specific
gcp,Google Cloud Platform,100,asia-east2,,http://www.wikidata.org/entity/Q148,China,,Hong Kong,0.702,702,2002-01-01T00:00:00,2015-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S095965261731627X,https://www.sciencedirect.com/science/article/pii/S095965261731627X,,,
gcp,Google Cloud Platform,100,asia-northeast1,,http://www.wikidata.org/entity/Q17,Japan,,Tokyo,0.516,516,,,,https://www.sciencedirect.com/science/article/pii/S095965261731627X,,,
gcp,Google Cloud Platform,100,asia-northeast2,,http://www.wikidata.org/entity/Q17,Japan,,Osaka,0.516,516,,,,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,,,
gcp,Google Cloud Platform,100,asia-south1,,http://www.wikidata.org/entity/Q668,India,,Mumbai,0.92,920,,,,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,,,
gcp,Google Cloud Platform,100,asia-southeast1,,http://www.wikidata.org/entity/Q334,Singapore,,Jurong West,0.419,419,2017-01-01T00:00:00,2017-12-31T23:59:59,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,1.12,https://www.google.com/about/datacenters/efficiency/,Datacenter-specific
gcp,Google Cloud Platform,100,australia-southeast1,,http://www.wikidata.org/entity/Q408,Australia,,Sydney,0.802,802,2016-01-01T00:00:00,2017-12-31T23:59:59,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,,,
gcp,Google Cloud Platform,100,europe-north1,,http://www.wikidata.org/entity/Q33,Finland,,Hamina,0.211,211,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,1.09,https://www.google.com/about/datacenters/efficiency/,Datacenter-specific
gcp,Google Cloud Platform,100,europe-west1,,http://www.wikidata.org/entity/Q31,Belgium,,St. Ghislain,0.267,267,,,,https://blog.google/around-the-globe/google-europe/time-shine-new-solar-facility-and-additional-data-center-belgium/,1.09,https://www.google.com/about/datacenters/efficiency/,Datacenter-specific
gcp,Google Cloud Platform,100,europe-west2,,http://www.wikidata.org/entity/Q145,United Kingdom,England,London,0.623,623,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
