id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG/Unit,emission_target_formula,emission_target,emission_target_wd,GHG,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2022,Value 2022,GWP,GWP_id
1,Scope2,Energy,Agriculture - stationary combustion,Burning oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Burning_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.95758e+20,1.95758e+20,1.0,co2asC_co2e_2022
2,Scope2,Energy,Agriculture - stationary combustion,Coal,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coal,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,24618182000000.0,24618182000000.0,1.0,co2asC_co2e_2022
3,Scope2,Energy,Agriculture - stationary combustion,Coke,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coke,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.63106e+20,2.63106e+20,1.0,co2asC_co2e_2022
4,Scope2,Energy,Agriculture - stationary combustion,Fuel oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Fuel_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.16104e+20,2.16104e+20,1.0,co2asC_co2e_2022
5,Scope2,Energy,Agriculture - stationary combustion,Gas oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Gas_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.04375e+20,2.04375e+20,1.0,co2asC_co2e_2022
6,Scope2,Energy,Agriculture - stationary combustion,Natural gas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Natural_gas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.52992e+20,1.52992e+20,1.0,co2asC_co2e_2022
7,Scope2,Energy,Agriculture - stationary combustion,Vaporising oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Vaporising_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.01791e+20,2.01791e+20,1.0,co2asC_co2e_2022
8,Scope2,Energy,Agriculture - stationary combustion,Burning oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Burning_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,10.0,0.35842293906810035,27.9,ch4_co2e_2022
9,Scope2,Energy,Agriculture - stationary combustion,Coal,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coal,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3000000.0,107526.88172043012,27.9,ch4_co2e_2022
10,Scope2,Energy,Agriculture - stationary combustion,Coke,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coke,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3000000.0,107526.88172043012,27.9,ch4_co2e_2022
11,Scope2,Energy,Agriculture - stationary combustion,Fuel oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Fuel_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,10.0,0.35842293906810035,27.9,ch4_co2e_2022
12,Scope2,Energy,Agriculture - stationary combustion,Gas oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Gas_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,10.0,0.35842293906810035,27.9,ch4_co2e_2022
13,Scope2,Energy,Agriculture - stationary combustion,Natural gas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Natural_gas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,5.0,0.17921146953405018,27.9,ch4_co2e_2022
14,Scope2,Energy,Agriculture - stationary combustion,Straw,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Straw,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3000000.0,107526.88172043012,27.9,ch4_co2e_2022
15,Scope2,Energy,Agriculture - stationary combustion,Vaporising oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Vaporising_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,10.0,0.35842293906810035,27.9,ch4_co2e_2022
16,Scope2,Energy,Agriculture - stationary combustion,Biomass,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Biomass,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,30.0,1.0752688172043012,27.9,ch4_co2e_2022
17,Scope2,Energy,Agriculture - stationary combustion,Biogas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Biogas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.0,0.03584229390681004,27.9,ch4_co2e_2022
18,Scope2,Energy,Agriculture - stationary combustion,Burning oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Burning_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.6,0.002197802197802198,273.0,n2o_co2e_2022
19,Scope2,Energy,Agriculture - stationary combustion,Coal,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coal,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,25.0,0.09157509157509157,273.0,n2o_co2e_2022
20,Scope2,Energy,Agriculture - stationary combustion,Coke,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Coke,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,25.0,0.09157509157509157,273.0,n2o_co2e_2022
21,Scope2,Energy,Agriculture - stationary combustion,Fuel oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Fuel_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.6,0.002197802197802198,273.0,n2o_co2e_2022
22,Scope2,Energy,Agriculture - stationary combustion,Natural gas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Natural_gas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.09999999999999999,0.00036630036630036625,273.0,n2o_co2e_2022
23,Scope2,Energy,Agriculture - stationary combustion,Straw,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Straw,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,4.0,0.014652014652014652,273.0,n2o_co2e_2022
24,Scope2,Energy,Agriculture - stationary combustion,Vaporising oil,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Vaporising_oil,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.6,0.002197802197802198,273.0,n2o_co2e_2022
25,Scope2,Energy,Agriculture - stationary combustion,Biomass,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Biomass,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,4.0,0.014652014652014652,273.0,n2o_co2e_2022
26,Scope2,Energy,Agriculture - stationary combustion,Biogas,,Agriculture/Forestry/Fishing:Stationary,Agriculture_-_stationary_combustion_Biogas,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg N2O,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.09999999999999999,0.00036630036630036625,273.0,n2o_co2e_2022
27,Scope3,Memo,Aircraft - international take off and landing,Aviation spirit,,Aviation_Bunkers,Aircraft_-_international_take_off_and_landing_Aviation_spirit,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.90543e+20,1.90543e+20,1.0,co2asC_co2e_2022
28,Scope3,Memo,Aircraft - international take off and landing,Aviation turbine fuel,,Aviation_Bunkers,Aircraft_-_international_take_off_and_landing_Aviation_turbine_fuel,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CO2 as C,CO2 as C,Carbon Dioxide as Carbon,https://naei.energysecurity.gov.uk/node/71,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.95094e+19,1.95094e+19,1.0,co2asC_co2e_2022
29,Scope3,Memo,Aircraft - international take off and landing,Aviation spirit,,Aviation_Bunkers,Aircraft_-_international_take_off_and_landing_Aviation_spirit,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,6005397318000000.0,215247215698924.75,27.9,ch4_co2e_2022
30,Scope3,Memo,Aircraft - international take off and landing,Aviation turbine fuel,,Aviation_Bunkers,Aircraft_-_international_take_off_and_landing_Aviation_turbine_fuel,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,272553239500000.0,9768933315412.188,27.9,ch4_co2e_2022
31,Scope3,Memo,Aircraft - international take off and landing,Sustainable Aviation Fuel (SAF) - bio based,,Aviation_Bunkers,Aircraft_-_international_take_off_and_landing_Sustainable_Aviation_Fuel_(SAF)_-_bio_based,TJ (net),https://www.wikidata.org/wiki/Q10380431,kg CH4,CH4,Methane,https://www.wikidata.org/wiki/Q37129,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,272553300500000.0,9768935501792.115,27.9,ch4_co2e_2022
